Date,Median,Average,Men Median,Men Average,Women Median,Women Average,White Median,White Average,Black Median,Black Average,Hispanic Median,Hispanic Average,White Men Median,White Men Average,Black Men Median,Black Men Average,Hispanic Men Median,Hispanic Men Average,White Women Median,White Women Average,Black Women Median,Black Women Average,Hispanic Women Median,Hispanic Women Average
2019,19.33 ,26.53 ,21.00 ,29.41 ,17.84 ,23.45 ,21.32 ,28.66 ,16.12 ,21.05 ,15.89 ,20.53 ,23.93 ,32.20 ,16.88 ,22.00 ,16.95 ,21.93 ,19.23 ,24.83 ,15.79 ,20.25 ,14.92 ,18.78 
2018,19.14 ,26.07 ,20.47 ,29.00 ,17.24 ,22.90 ,20.94 ,28.35 ,15.35 ,20.56 ,15.31 ,19.93 ,23.41 ,31.94 ,16.30 ,21.56 ,16.40 ,21.45 ,19.01 ,24.47 ,15.15 ,19.71 ,14.19 ,18.00 
2017,18.83 ,25.52 ,20.78 ,28.20 ,17.20 ,22.64 ,20.86 ,27.65 ,15.59 ,20.05 ,15.54 ,19.68 ,23.03 ,30.85 ,15.85 ,21.21 ,16.12 ,21.02 ,18.77 ,24.21 ,15.05 ,19.06 ,13.76 ,17.94 
2016,18.67 ,25.34 ,20.48 ,28.12 ,16.99 ,22.35 ,20.59 ,27.35 ,15.86 ,20.17 ,14.99 ,19.48 ,23.02 ,30.68 ,16.09 ,21.44 ,15.99 ,20.88 ,18.47 ,23.78 ,14.97 ,19.10 ,13.74 ,17.63 
2015,18.34 ,24.84 ,20.26 ,27.54 ,16.66 ,21.94 ,20.42 ,26.87 ,15.19 ,19.85 ,14.42 ,18.85 ,22.48 ,30.21 ,16.08 ,20.97 ,15.53 ,20.07 ,18.15 ,23.29 ,14.54 ,18.92 ,13.04 ,17.25 
2014,18.04 ,23.91 ,19.59 ,26.28 ,16.28 ,21.36 ,19.86 ,25.76 ,15.07 ,19.37 ,14.01 ,18.15 ,21.75 ,28.74 ,15.72 ,20.12 ,15.08 ,19.19 ,17.58 ,22.61 ,14.26 ,18.75 ,12.96 ,16.75 
2013,18.03 ,24.06 ,19.78 ,26.64 ,16.48 ,21.30 ,19.86 ,25.97 ,15.39 ,19.52 ,13.74 ,18.03 ,22.01 ,29.20 ,16.37 ,20.49 ,14.37 ,19.06 ,17.69 ,22.53 ,14.75 ,18.72 ,13.11 ,16.65 
2012,17.94 ,23.95 ,19.98 ,26.61 ,16.61 ,21.11 ,19.98 ,25.85 ,15.06 ,19.50 ,13.75 ,17.86 ,22.25 ,29.13 ,15.75 ,20.60 ,14.54 ,18.85 ,17.72 ,22.35 ,14.43 ,18.61 ,12.93 ,16.56 
2011,18.17 ,23.82 ,19.89 ,26.20 ,16.89 ,21.26 ,19.86 ,25.57 ,15.46 ,19.50 ,13.77 ,17.90 ,22.06 ,28.60 ,16.04 ,20.33 ,14.37 ,18.71 ,17.77 ,22.41 ,14.84 ,18.83 ,13.20 ,16.76 
2010,18.63 ,24.32 ,20.39 ,26.96 ,17.01 ,21.56 ,20.26 ,26.09 ,15.96 ,19.84 ,14.14 ,18.47 ,22.79 ,29.44 ,16.60 ,20.72 ,14.80 ,19.56 ,17.75 ,22.65 ,15.24 ,19.14 ,13.06 ,16.93 
2009,18.75 ,24.38 ,20.88 ,27.22 ,17.10 ,21.42 ,20.41 ,26.09 ,16.05 ,19.84 ,14.44 ,18.63 ,23.14 ,29.67 ,17.16 ,20.96 ,15.39 ,19.74 ,17.97 ,22.43 ,15.33 ,18.95 ,13.30 ,17.08 
2008,18.34 ,23.77 ,20.31 ,26.40 ,16.71 ,20.95 ,20.03 ,25.42 ,15.41 ,19.28 ,14.34 ,18.19 ,22.79 ,28.72 ,16.56 ,20.23 ,15.01 ,19.23 ,17.77 ,21.96 ,14.55 ,18.48 ,13.20 ,16.68 
2007,18.48 ,23.68 ,20.33 ,26.27 ,16.55 ,20.89 ,19.91 ,25.35 ,15.46 ,19.39 ,14.32 ,18.08 ,22.59 ,28.64 ,16.36 ,20.29 ,14.92 ,19.02 ,17.76 ,21.87 ,14.91 ,18.64 ,13.01 ,16.71 
2006,18.45 ,23.42 ,20.24 ,25.91 ,16.50 ,20.71 ,19.81 ,25.01 ,15.73 ,19.48 ,14.04 ,17.64 ,22.32 ,28.17 ,16.58 ,20.56 ,15.16 ,18.55 ,17.68 ,21.64 ,15.21 ,18.58 ,12.78 ,16.29 
2005,18.38 ,23.32 ,19.97 ,25.84 ,16.39 ,20.60 ,19.77 ,24.96 ,15.61 ,19.09 ,13.72 ,17.51 ,22.36 ,28.12 ,16.29 ,20.09 ,14.50 ,18.44 ,17.51 ,21.59 ,14.54 ,18.26 ,13.07 ,16.11 
2004,18.66 ,23.48 ,20.43 ,26.17 ,16.49 ,20.58 ,20.26 ,25.05 ,16.22 ,19.53 ,13.70 ,17.69 ,22.90 ,28.41 ,16.96 ,20.78 ,14.71 ,18.54 ,17.60 ,21.49 ,15.42 ,18.49 ,13.43 ,16.44 
